comment,class
flair those are white phosphorus you racist war criminals,1
free palestine slava hamas  israhell pile of poo,1
did hitler saw something back then that the world never saw,1
"Hiroshima resident Takanori Hanaki. Ladies and gentlemen of hamas. Enough of this war. Let's stop this war. Drop the gun, please. Surrender calmly, calmly, calmly. Surrender. The United States of America defeated the capitalist imperialism of Israel, the victory of the hamas. Global public opinion has changed. The world is on your side in the Gaza Strip. You can end this war now. The IDF cannot win by force alone, it is the victory of the hamas. Talk to Israel. Talk to Prime Minister Netanyahu. Release the hostages and civilians. Please folded hands person bowing. Please folded hands person bowing. Drop the gun, please. Surrender, calmly, calmly. Surrender. Please folded hands person bowing. Please folded hands person bowing. Please folded hands person bowing.",2
Palestinian Territories Palestinian Territories Palestinian Territories Palestinian Territories Palestinian Territories Palestinian Territories Palestinian Territories Palestinian Territories Palestinian Territories Palestinian Territories Palestinian Territories,1
stop war hates skeptical annoyed undecided uneasy or hesitant /youtube.com/shorts/zireqnqndaw?feature=share,1
we stand with palestine,1
satan loves you,1
what can i say i got too silly,2
the zionazi state of israel has been accused of using chemical weapons on the palestinian people as seen on videos not only this time but many times before during conflicts and it seems they have the impunity from using it there is hardly any serious talks on this matter,1
an independent palestinian state and the right of return of all palestinians in forced exile is the only solution and only the usa can make it happen the world is watching this unequal treatment by the so-called leader of democracy,1
war crimes supported by usa i,1
this is a holocaust genocide a murdering land grab,1
the hamas announced yesterday idf is lying about its casualties its lot more than say and why are they celebrating the surrounding of gaza we are not a big country rather a small area lol idf is a joke,1
jews always causing problems,1
it looks like an apocalypse my prayers for those affected,1
they done let the gas star of david in tha door,2
this is sickening to see,1
how about what we the west did to iraq,1
palestine occupied by hamas,0
if arabs really cared for palestinians they would imiedetly accept war refugees like poland open up for ukrainians in need despite difference in religion . how come any of their neighbors wants them save the women and children if they care so much,0
united states needs to get rid of islamic radicals and deport them their hate of the jewish community which is only % of the us population and hatred is not wanted especially death threats i hear nothing about this and such a weak government,0
zechariah :-(tlb)- this is the fate of israeli as pronounced by the lord who stretched out the heavens laid the foundation of the earth and formed the spirit of man within him i will make jerusalem and judah like a cup of poison to all the nearby nations that send their armies to surround jerusalem jerusalem will be a heavy stone burdening the world and though all the nations of the earth unite in an attempt to move her they will all be crushed,2
i&#;m old enough now to not care what any of these generals say when instantly it&#;s clear israel has chosen to enter their vietnam and they will suffer precisely the same consequences and more it&#;s tragic it was foolish to enter and the genocide and brutality is unacceptable israel could have waited to unify the world for the cause of gaza and israel to find unity during the sympathy that was very brief after oct . instead they rushed in and you do know what they say about people who rush in entry was ilconcieved and the miles of tunnels are about as viet cong as it gets it&#;s full metal jacket and it will only end with tragedy and more hostility for every day they stay in there it&#;s literally like nobody had time to watch the history channel in israel for a hard education on modern warfare the weapons are much more extreme on both sides it&#;s not just the history repeats itself the end games are just pause points,0
"let me share some facts on the issue in gaze since you are unable to and do not have the courage to share such facts as of november , , over , civilians were killed of the civilians killed , are children and , are women nba , how many more palestinian babies have to die before you provide a fair and unbiased coverage",1
only liberals will give our war plans on air but refuse to even admit the corruption of joe widen and his crackhead son this is why america can&#;t win wars they don&#;t want america to win,2
not only are the jews false in their declarations commitments and oaths but they are also false in the bloody events that we are witnessing at the moment it is extremely suspicious why the jewish military services did not lift a finger and let the conflict break out leaving fellow countrymen at a loss israeli intelligence community is too clever has a substantial cia backup and is very infiltrated in all palestinian organizations including hamas they don&#;t make mistakes it&#;s israel&#;s thirst for killing palestinians and occupying land,1
that is white phosphorus which is a war crime but does criminals care about the law,1
how far is the hospital from the refugee center,2
everything is apocalyptic since jesus christ cast the devil out of heaven etc revelation : . revelation i peace was taken from the entire earth by not seeing peace on earth the whole world went to war the first war the second world war and to this day rumors and rumors of war nation against nation kingdom against great kingdom earthquakes in one place after another shortage of food epidemic or plague signs in the sun in the stars in the moon and on earth anguish of the nations etc matthew : . mark : . . luke : . . . . jesus predicted that he did not come to bring peace but division and sword son against father his daughter against her mother etc matthew : . also the love of the majority would grow cold etc matthew : . mark : . this would be in this generation mark : . are prophecies matthew : mark : luke : . timothy : . : timothy : . thessalonians : . revelation : . . daniel : . revelation : . acts : . . peter : . . and let us know that jesus is the second perfect and adam was also perfect through adam we all inherited sin and death passed to us all romans i and jesus came to take away the sin we inherited from adam and death jesus died for us all romans i corinthians :.. . read the bible that all writing is inspired by god . timothy : . . and the prophecies were also men who spoke through the holy spirit etc . peter : . . the bible has books closed book were written in hebrew dramatic and in greek script in the law of moses the commandments are written exodus . deuteronomy : . the new testament is written in the lord&#;s prayer matthew : . many religions in their favor are not governed by the old testament and that is where the commandments are written read the bible the entire bible is the word of god,2
free palestine from hamas we stand by israeli,0
a principle that the life of an innocent human being has no value and that such a life can be summarily discounted by a person exercising a right to self defence is israel itself committing heinous war crimes the world should never allow israel to uphold such an erroneous principle on the basis of being a right to self defence Australia hundred points,1
israel surrounding terrorist city,0
that idf!,0
why is no one or country telling hamas they must have cease fire,0
i pointed to all media as you know they sale its self to created faction news not fact to supported human crime by israeli to brain washed people in the world after media job now majority people gets help from social media to rich real news and fact that open their eyes and bring them to street and they wouldn&#;t trust to media news now on dear,1
i&#;m in gaza city everything is fine here mcdonald&#;s is still open here and i&#;ve just bought a happy meal,0
jews mutilate little boys,1
these are not i flares i its white phosphorus,1
why do hezbollah and hamas want palestine and israel genocide iran you and saudi need to bury the hatchet and recognize this natural dynamic everyone is experiencing belongs to both of you,2
united states should send billions that they dont have..same with ukraine..where is money from nato..they are to save the world..oh. their broke from the billions each country sends them each year..i smell audit,1
the palestinians are held hostage by israeli netanyahu is the biggest terrorist and killer of babies,1
jewish pride is what will bring them down,2
i do not see the military advantage of bombing the buildings because the debris makes the area impassable meaning israel is not going to use the tanks effectively,0
hamas was already calling on israel for talk but israel doesn&#;t want to give up occupied territories i believe get read palestinians is their want then the us will build them a larger israeli sad if this is their plan,1
parking lot baby,0
"god has won the war but gods children keep fighting secret , secrets of heaven book",2
all that is is lots of talking just to justified their actions against innocent civilians israel wants palestine doesn&#;t matter the cause as long is not one of their civilians killed i pray this stops very soon it&#;s frustrating and heart breaking free palestine red heart red heart red heart red heart red heart folded hands,1
israel is doing to innocent people the same thing that hitler did to the jews,1
you americans and your jesus and god rhetoric if they were both into helping this war never would of happened in the first place just hope for peace soon none of that other nonsense is going to help at all,2
support israel.,0
i thought i was watching a computer game,1
i think the usa is going to get drawn into this,2
hitler is having a good laugh in his grave.netanyahu hitler&#;s apprentice,1
trudeau needs to go nowwe cannot afford this buffoon to run the country any longer liberals should get booted out and bring pa to put the country back on road of recovery,2
o lord protect the idf soldiers and bring them back safely to their homes and families in the name of yeshua.,0
Israel,0
when will the usa stop funding weapons of mass destruction to israel used for genocide,1
joe &quot;alfred e neuman&quot; widen is in a coma he doesn&#;t know what he is doing i would like to know who is running the show i know sure it&#;s not kam harris she knows zero about warfare or israeli or american,2
now is the time to become biblical christians,2
star shells they have been used for well over a hundred years for illumination they are super old technology,2
the world will turn its back on israeli,1
israel stay strong,0
israel is an apartheid state,1
so many people are calling for israel to stop fighting i'm wondering why no one is calling for hamas to surrender because in that case the war would end then and there if the palestinians really want this war to end they need to rise up against hamas and stop collaborating with hamas terrorists,0
Israel OK hand OK hand OK hand,0
don&#;t call it &quot;zionist entity&quot; anymore..call it simply &quot;white phosphorus&quot; entity,1
fafo!!,2
Israel Israel Israel Israel Israel Israel Statue of Liberty Israel Israel Israel Israel Israel,0
lola they have surrounded gaza city suffers gaza was always surrounded,0
my god! oh my god!,1
"(sumer) the cradle of civilization i love you israel but you are wrong and bibi is just using american and y&#;all standing with him , better pay attention to the outcry the cry is about ethnic cleansing of palestine that&#;s why he cut off the power to conceal it , that&#;s why i stopped watching him telling the world lies",0
the israeli lobby is holding biden&#;s balls hostage yet our president is so fearless in giving lip service to palestinians widen or whatever,2
a refugees campus not a battle field has the world gone made ogre face screaming in fear loudly crying face loudly crying face loudly crying face loudly crying face comment blocked below,1
russia says nostradamus&#; &quot;germanic man with a trojan heart&quot; is lithuanian no word yet on where &quot;most of europe is&quot;,2
have you noticed that the israel haters never mention the babies killed by hamas hypocritical right,0
"what goes around comes around,,get some..viva israel",0
you are witnessing genocide in gaza use of tones of into use of chemical weapons use of white phosphorus munitions killing children newborns girls and boys what if they were yours children,1
all carnal mind disguise themselves with lies to deceive,2
no hope they are powerful who are deaf and blind for the reality,2
what a base way to show the world what actually war crimes are,1
that is white phosphorus,1
you think that they learned for an evil and demented man and yet they treat people the same way shame on israel,1
probably it&#;s poison gas what hitler was also using terrible down sad angry or pouting,1
both peoples are unfit for the holy land christiandom needs to rule again,2
gaza city soon to be renamed netanyahu city,2
the cut off at the end is very annoying,2
i man if the world is so concerned for the loss of innocent civilian lives why is no one in the media calling for hamas to surrender,0
people seem to forget that israel is the indigenous peoples here while the other side are the colonialist,0
looks so eerie apocalyptic,1
i like the analogy that not all palestinian people support hamas and are victims of war themselves i,0
the war is stupid.,2
told youtube not to recommend these western propaganda videos must we install plains to block western media,2
if hamas surrendered the war today in the interest of negotiating a peace wouldn&#;t all the innocent civilian killing stop,1
israel is committing genocide whitewashing their war crimes is complicity,1
free palestine from river to sea,1
is hamas dancing in the streets now ? israeli army bringing the music and light show,0
god bless Israel  Israel folded hands,0
elephant is a knife,1
when jews were pushed out of europe why did they go to promised land where they are banned from entering why did they not go to ganda instead in ? why are they taking palestinian land when as per their own religion usury is the only thing permissible for them,1
did you guys know that it all started when the rothschilds bought the israel land yes it's about money and they want to make a new canal route through gaza,1
thats what happens when u vote hamas to take over your country where is the president he flew away left his citizens face with tears of joy #freepalestinefromhamas,0
hamas one of the worst governments ever they brought this on their people,1
good morning motherfuckers,0
islam = terrorists,0
also it has the ancient silk road an the largest gas reserves in their water worth billions/trillion.. many leaders already signed the agreement,1
ask your hamas to stop attacking israeli first they only started war,0
"if we consider the two hundred and fourteenth verse of sarah al-baqarah, the words of god almighty for did you think that you would enter paradise when there came to you the likeness of those who passed away before you afflicted by calamity and affliction and they were shaken until the messenger and those who believed with him said when will god give you victory indeed gods help is near this verse was revealed on the day of the parties when the polytheists were besieging the muslims and they came to them from the top of the city and the jews were at the bottom of it and the hypocrites were in the ranks discouraging the people and making them suspicious some muslims even had some doubt inside them and sai tongue sticking out cheeky playful or blowing a raspberry o messenger of god we are armed in the morning and evening meaning we are always afraid expecting the enemy to come to us from here or here so god almighty revealed this verse to show them that among the laws of god before victory is scrutiny trial and earthquake or did you think o muslims that you would enter paradise when you did not know the news of the predecessors among the followers of the prophets who were touched by calamities and hardships?war, fighting and adversity harm such as illness poverty and the like they were shaken by fear to the point that the prophet among them was asking himself and the believers with him and saying when will god give victory god almighty sai tongue sticking out cheeky playful or blowing a raspberry indeed gods victory is near and in this battle came the opportunity that exposed the hypocrites at a time of weakness of the muslims and at the time of the arrival of the enemies of the muslims the hypocrites fear the strength of the muslims if the muslims are strong then hypocrisy does not appear in them and if they are weak then their denial appears the battle of al-ahzab took place in the month of shawl in the fifth year of the hija corresponding to march add the conquest of mecca also called the great conquest was a conquest that took place on the twentieth of armada in the eighth year of the hija corresponding to january , add god willing the conquest of jerusalem will be in the year add oh god make these words of ours a sign of the battle of the parties amen",1
so horrific and us tax dollars make this slaughter possible,1
after a while one stops feeling sympathy for palestine why did hamas kidnap civilians in the first place ? why are refusing to return the hostages ? why is hamas allowing gaza to get levelled ? where were the global protests against isis and al qaeda ?,0
the end of netanyahu is near and the return of palestine is near,1
a zionist in occupied the land of palestine Palestinian Territoriesthe land will soon return to its people all of palestine,1
"why they don't mention how israel in the crossfire with hamas kill and bomb they own citizens in october , why they don't show the proof of the babies that supposedly got be headed i see how palestinian parents put their kids remains in bags after the explosion why if they so though instead of bombing innocent civilians why they don't go in with their soldiers and look for the tunnels and rescued the hostages they always talk about how we got intelligence that hamas is hiding under building how come they didn't have intelligence on october , all this was planned to get usa and our soldiers to fight their war in iran for them",1
manny of can anchor are just racist pigs who want to present israel terrorist act as they just defending themselves i the word is watching,1
reduced to ashes what was reduced to ashes in israel on oct ? people,0
grimacing face,1
why hamas didn't built shelters for the people?because they want misery to manipulate the world .,0
where&#;s your gay allah now face with tears of joy party popper face with tears of joy face with tears of joy party popper,0
Israel Israel Israel Israel Israel flexed biceps light skin tone,0
"- britain&#;s most famous philosopher on zionist - the article discusses the final letter written by the british philosopher bertrand russell in . it highlights the following key points down sad angry or pouting bra bertrand russell&#;s background tongue sticking out cheeky playful or blowing a raspberry the article introduces bertrand russell as a prominent british philosopher mathematician logician, and public intellectual who made significant contributions to various fields including mathematics philosophy linguistics artificial intelligence cognitive science and more he was a nobel prize winner for literature and known for championing humanitarian ideals and freedom of thought russell&#;s pacifism and activism russell&#;s background as a pacifist and anti-imperialist is mentioned along with his imprisonment during world war i for his pacifist beliefs he also criticized stalin and the united states&#; involvement in the vietnam war russell became an advocate for nuclear disarmament russell&#;s critique of israel&#;s actions in january , russell issued a letter condemning israel&#;s actions in the middle east particularly israeli bombing raids deep into egyptian territory he likened these actions to the bombing raids carried out by nazi germany during the battle of britain and the united states&#; bombing of vietnam calls for israeli withdrawal russell called for israel to withdraw to its prep borders and expressed his concern over israel&#;s expansion by force he believed that every new conquest became a basis for negotiation from a position of strength which ignored the injustice of previous aggression the plight of palestinian refugees russell emphasized the plight of palestinian refugees who were made homeless by the creation of a new state he asserted that refugees have the right to return to their homeland and denying this right is at the heart of the ongoing conflict comparisons to holocaust suffering the article mentions that some people justified sympathizing with israel by referencing the suffering of jews in europe during the holocaust russell rejected this as a reason to perpetuate any suffering and accused it of being gross hypocrisy the need for a just settlement russell concluded that to end the bloodshed in the middle east a just settlement is needed he called for israeli withdrawal from all territories occupied in june as the first step toward achieving a lasting settlement relevance and contemporary significance the article highlights that russell&#;s letter written over years ago remains relevant and contemporary in addressing the ongoing issues and injustices in the middle east the article suggests that if russell were alive today he would still be concerned and horrified by the situation in the occupied territories and gaza recommendation to read &quot;the ethnic cleansing of palestine&quot;: the article recommends the book &quot;the ethnic cleansing of palestine&quot; by israeli historian plan pappy which provides meticulous historical details and archival evidence regarding the ethnic cleansing of palestinians these are the main points delivered in the article about bertrand russell&#;s final letter and his perspective on the middle east conflict",1
can is the media pimp of zionist entity,1
"gazans if they don't run away, they will die for themselves.",1
it&#;s sad to see what hamas&#; terrorism has caused for israel and also their own people,0
where is humanity the women and kids and olds dies after israeli attack,1
where is humanity the women and kids and olds dies after israeli attack,1
where is humanity ?,1
would god regret giving israel this land if he knew they were doing this,1
hates skeptical annoyed undecided uneasy or hesitant / laughing big grin or laugh with glass tjmcromazkwuk,2
israeli was founded in on the mythical claim that god promised them this land in the old testament back around be that's about . i years back you wake up after years to remember that your god promised you some land where you have to go and wipe out its indigenous people and bring in your own people who your god prefers grinning squinting face grinning squinting face grinning squinting face smiling face with tear how fucked up is this argument the zionists invented because genuine die good jews don't accept this myth in fact they fight it whenever possible this myth for the following reasons i convince the jews around the world to migrate to their home land that their god promised them which they call israeli or palestine to arabs i justify the taking over of palestine the real reason why the zionists worked hard on establishing home for jews in the late the and early the centuries was the rising antisemetism around the world and especially in europe the hitler's gas champers against jews which was a horrible thing no doubt in we helped them garner more support to establish their home especially from britain and the us hence their independence war in where they defeated the palestinians and arabs to take over half of palestine then they launched another surprise attack in to take over the other half the west bank and gaza so israeli is an occupation just because youlre hated and persecuted around the world doesn't give you the right to occupy another country and make its people suffer times you did if you have doubts about this narration just google “belfour declaration or “zionism”.,1
everything you see hamas is to blame and he is gonna pay the price for killing innocent civilians men women children babies i&#;m not jealous in hamas terrorists once they face idf soldiers special forces who eager to eliminate the barbaric nazis-isis-hamas regime for all the people that call yo free palestine did you condemn hamas atrocities first you prefer to support dark cruel regime over israel which is a beacon to the free world,0
how can regular american citizens help,1
where there is complete destruction like syrian afghanistan gaza there are muslims its bitter but true then they say terrorism has no religion enough is enough,1
these videos depict war crime what a nightmare crying face,1
can is a propaganda machine complicit in war crimes and massacre of innocent people can has no integrity or humanity,1
there is absolutely reason to suspect that israel just like deng xiaoping assign hamas to launch suicide attack is looking for excuses to invade and occupy gaza and require international military court to conduct thorough investigation as soon as possible,1
is that not how all wars are unfortunately hamas runs palestine,0
"imagine that you live peacefully in your own homeland and then some invaders come to kill you and take your own homes and your own lives saying that this is their own homeland and when you react and try to say no to what happens you are the guilty one this is exactly what happened in palestine israel came to take the land of palestine without any rights in the big countries and the big powers in the world support israeli and when the palestinian people try to say no and try to defend their own homeland all the world sees them as the guilty and the criminal ones this is nonsense this is beyond logic and beyond humanity have some courage and try to see the truth the palestinian people have all the rights to defend their own home land they have a great cause to do whatever it takes to defend their own homes and their own lives and the ones they love you don&#;t know what really happens in palestine palestine has been under occupation for years and no one ever condemns the brutality of israel when they kill children and women no warships are ready to battle or billions of dollars to be spent to support them;however, all these are ready instantly to support israeli all of us have hearts feelings minds to analyze so please be fair for your humanity watch the videos from the past where israeli soldiers kill children and women the recent palestinian attacks are just a reaction to all what israeli soldiers have been doing and if you want to know what really happened and is still happening in palestine watch these videos hates skeptical annoyed undecided uneasy or hesitant /youtube.com/shorts/pdnbauw?si=utfmwxgi-uamky hates skeptical annoyed undecided uneasy or hesitant /youtube.com/shorts/eyecndlfze?si=ypxuijyasteqtxr",1
"imagine that you live peacefully in your own homeland and then some invaders come to kill you and take your own homes and your own lives saying that this is their own homeland and when you react and try to say no to what happens you are the guilty one this is exactly what happened in palestine israel came to take the land of palestine without any rights in the big countries and the big powers in the world support israeli and when the palestinian people try to say no and try to defend their own homeland all the world sees them as the guilty and the criminal ones this is nonsense this is beyond logic and beyond humanity have some courage and try to see the truth the palestinian people have all the rights to defend their own home land they have a great cause to do whatever it takes to defend their own homes and their own lives and the ones they love you don&#;t know what really happens in palestine palestine has been under occupation for years and no one ever condemns the brutality of israel when they kill children and women no warships are ready to battle or billions of dollars to be spent to support them;however, all these are ready instantly to support israeli all of us have hearts feelings minds to analyze so please be fair for your humanity watch the videos from the past where israeli soldiers kill children and women the recent palestinian attacks are just a reaction to all what israeli soldiers have been doing and if you want to know what really happened and is still happening in palestine watch these videos hates skeptical annoyed undecided uneasy or hesitant /youtube.com/shorts/pdnbauw?si=utfmwxgi-uamky hates skeptical annoyed undecided uneasy or hesitant /youtube.com/shorts/eyecndlfze?si=ypxuijyasteqtxr",1
shocking..absolutely shocking israel is practicing state terrorism even better than the nazis did shameful,1
gaza sorry to say this but your government parked you all over the worst way at that,1
free palestine Palestinian Territories folded hands folded hands,1
the israeli electronic army occupies the comments on this channel can&#;t you say a single word that is not a lie,1
"after the terrorist attack on israel on october , two hundred israeli citizens were taken hostage including children many arab countries are protesting against israel demanding that the attacks on gaza stop innocent people are being killed and are demanding the release of the hostages there were no demonstrations anywhere demanding the release of innocent hostages nor was any arab country coming forward to unconditionally release the innocent hostages what is the fault of the innocent people killed",0
who start the war pristine hamas or israeli,0
why is no one the media not showing the damage done to israeli the only thing i see is cars destroyed a few buildings but no real structural damage,0
we are with palestine,1
i urge the arab league to sanction the us and israeli i,1
why the west doesn&#;t care about them what&#;s making them so blind thousand of dead children&#;s image floating in my mind it breaks my heart just to think about this does the world really don&#;t care about them they hate muslims this much,1
israel is bombing gaza kill civillian.. they destroyed building hospital with people die but if we compare with so many sanction for russia who never kill civilian and bombed the hospital i think the west won&#;t give israel a sanctioned let me guess why it must be quote double standard &quot;.. awesome clapping hands clapping hands clapping hands clapping hands clapping hands,1
we may speak in different languages but we are all human beings human cannot harm others we were created form a drop of soil and a drop of water,1
i had sympathy for the jews and the holocaust now that i see how they treat the palestinians that sympathy has evaporated imagine that they disgust me as much as the nazis did they have declared war on the entire palestinian population for the actions of a few do they forget when war was declared on their entire jewish population and what that was like,1
free valentine,1
stop your is hamas is not palestine so far israel is only killing palestinians if the us has a terrorism issue is it gonna start bombing everything in mexico ? of not,1
can blames america for the pearl harbor attack hamas bombs their own hospital,0
sea water tunnel hamas,0
keep counting it will take a lot more than years,2
era not even a country anymore,1
its as though these western gets orgasms seeing how much destruction and death the west causes they report as though they are pleased to see palestinians dead and their homes and cities destroyed it&#;s as though these western media just enjoy seeing israel kill innocent women and children so they can report sounding like this you can swear the reporter is smirking in pure pleasure just seeing the destruction and death and blood and crying people he seems to enjoy watching people suffer,1
we can make any assumptions we want but as an american i have to say america and israel are the real terrorists correct me if im wrong,1
israel should not be allowed to be above the law this is a crime this is genocide,1
well didn&#;t you pay for this and propagandist for it ?..you worked really hard great job this is the result of your hard work and money #freepalestine,1
#freepalestine  #gazaunderattack  #savepalestine  Palestinian Territories,1
this channel is against the truth,1
fac you usa pouting face pouting face pouting face pouting face pouting face pouting face pouting face,1
end it now don&#;t let them rebuild and start this shit all over again in ten yrs time god bless israel,0
what a cruel country israel!!how nice to know there is hell for them,1
Israel Israel Israel Israel victory hands victory hands victory hands flexed biceps flexed biceps United States,0
next is to annexe the land and give it to the colon after build a new wall then years later it will be fully israel territory,0
these are seeds sown by hamas a terror terrorist group of gaza,0
now everyone know hamas is issues,0
hamas now is ham in ass,0
war crime on video,1
national geographic . israel is not a real country,1
false flag to bring us into war for second israeli,2
gaza civilians should have known not to live in gaza stop complaining about damages when you put ourselves under the control of terrorists yes it is unfortunate but you should have left gaza after hamas beheaded innocent israeli children these things have consequences,0
"i am ashamed of my country the usa for the critical support of israeli we are being told israel is morally superior to hamas but it&#;s not true hamas just gave israel a small dose of what israel did to the palestinians in - when the zionists staged massacres and atrocities to ethnically cleanse the palestinians from their homes the zionist plan to do this was in place even before the holocaust starting in the so israel sent spies to every palestinian town and village to gather information about how each could best be attacked when the order was finally given in , the israeli troops went into each village/town. they herded everyone into the town square then lined up all of the leaders of the arab community and shot them in the head the people were then told to leave and never return anyone who resisted was killed some i palestinians were driven from their homes in this way massacres were also staged to scare the people into leaving many of the palestinians who fled ended up in refugee camps in gaza set up by the un the gaza residents of today are the descendants of those refugees they lost everything family members homes property and their future this is the ugly reality that americans fail to understand because the zionist owned media repeats endless lies sadly most americans believe whatever they are told wake up people the neurons jewish warmongers like victoria land and anthony blinked at the us state department already had us on the brink of nuclear war with russia over ukraine now i because of israel&#;s racist apartheid system i we face another crisis that can just as easily escalate to we ii i in an afternoon. americans please realize we are in danger of losing our country zionists rule american they own congress wall street most of the us war machine the media and hollywood if the american people do not wake up soon our + year experiment in democratic government is over",1
imagine can defending hamas by promoting damages done to gaza - a terrorist run territory - yet they refuse to acknowledge what hamas did was wrong,0
out of proportion unnecessary destruction and carnage outright violation of human right no regard for human lives this bombing has nothing to do with removing hamas it&#;s genocide i deplore this senseless murderous atrocity israel will pay the price,1
they arabs of gaza slaughtered raped burned kids alive chopped babies heads they chopped organs we found a woman that her baby was taken out of her stomach as they are dead found together the baby still connected to her stomach we will never forget and never forgive only death with torture to all arabs of gaza all of them are nazi,0
open country raise oil price for europe and american it&#;s best opportunity,2
there is no war the usa + can invented a war for the $$. israel and its land air and water army against terrorists on scooters and hidden behind ruins there is no army against israeli nothing zero lots of terrorists like cockroaches and nothing else but lots of $$.. iraq camp afghanistan all over again,2
a lot of this is propaganda blaming one side over the other put all that aside and you'll see palestine and israel have have been fighting for a long long time israel has been fighting all of its neighbors for quite awhile hamas has killed many innocents babies too just as israel has this will never end unless one side completely irradiated the other both hate each other neither want peace hamas declared back when they came to power that they won't stop until all jews are destroyed,2
